PPM,AMP
-1.0,6.614771335482737e-07
-0.999603271484375,6.61773709953635e-07
-0.99920654296875,6.620704301810165e-07
-0.998809814453125,6.623672943145524e-07
-0.9984130859375,6.626643024663492e-07
-0.998016357421875,6.629614546947368e-07
-0.99761962890625,6.632587511200619e-07
-0.997222900390625,6.635561918153995e-07
-0.996826171875,6.638537768902542e-07
-0.996429443359375,6.641515064172675e-07
-0.99603271484375,6.644493804909817e-07
-0.995635986328125,6.647473992202509e-07
-0.9952392578125,6.6504556269051e-07
-0.994842529296875,6.653438709802555e-07
-0.99444580078125,6.656423241974737e-07
-0.994049072265625,6.659409224143726e-07
-0.99365234375,6.662396657434923e-07
-0.993255615234375,6.66538554271786e-07
-0.99285888671875,6.66837588084038e-07
-0.992462158203125,6.671367672834647e-07
-0.9920654296875,6.674360919641745e-07
-0.991668701171875,6.677355621972914e-07
-0.99127197265625,6.680351780944879e-07
-0.990875244140625,6.683349397388141e-07
-0.990478515625,6.686348472276313e-07
-0.990081787109375,6.689349006591683e-07
-0.98968505859375,6.692351001114875e-07
-0.989288330078125,6.695354456988638e-07
-0.9888916015625,6.698359375067325e-07
-0.988494873046875,6.701365756177097e-07
-0.98809814453125,6.704373601337105e-07
-0.987701416015625,6.707382911436393e-07
-0.9873046875,6.710393687457249e-07
-0.986907958984375,6.713405930258362e-07
-0.98651123046875,6.716419640867555e-07
-0.986114501953125,6.719434820280125e-07
-0.9857177734375,6.722451469252846e-07
-0.985321044921875,6.725469588657416e-07
-0.98492431640625,6.728489179699468e-07
-0.984527587890625,6.7315102432919e-07
-0.984130859375,6.73453278015896e-07
-0.983734130859375,6.737556791376175e-07
-0.98333740234375,6.740582277858613e-07
-0.982940673828125,6.743609240664455e-07
-0.9825439453125,6.746637680747798e-07
-0.982147216796875,6.749667598635566e-07
-0.98175048828125,6.752698995722041e-07
-0.981353759765625,6.755731872763997e-07
-0.98095703125,6.75876623078709e-07
-0.980560302734375,6.761802070697712e-07
-0.98016357421875,6.764839393432615e-07
-0.979766845703125,6.767878199937221e-07
-0.9793701171875,6.77091849123285e-07
-0.978973388671875,6.773960268251916e-07
-0.97857666015625,6.777003531785886e-07
-0.978179931640625,6.780048282929805e-07
-0.977783203125,6.783094522731011e-07
-0.977386474609375,6.786142252056867e-07
-0.97698974609375,6.78919147167065e-07
-0.976593017578125,6.792242182723784e-07
-0.9761962890625,6.795294386322155e-07
-0.975799560546875,6.79834808320302e-07
-0.97540283203125,6.801403274136163e-07
-0.975006103515625,6.804459960496351e-07
-0.974609375,6.807518142938444e-07
-0.974212646484375,6.810577822607359e-07
-0.97381591796875,6.81363900035311e-07
-0.973419189453125,6.816701677175331e-07
-0.9730224609375,6.819765854025953e-07
-0.972625732421875,6.822831531911114e-07
-0.97222900390625,6.825898711680829e-07
-0.971832275390625,6.82896739439328e-07
-0.971435546875,6.83203758110448e-07
-0.971038818359375,6.835109272595053e-07
-0.97064208984375,6.838182469855961e-07
-0.970245361328125,6.841257174164395e-07
-0.9698486328125,6.844333385973549e-07
-0.969451904296875,6.847411106608321e-07
-0.96905517578125,6.85049033699028e-07
-0.968658447265625,6.853571077917401e-07
-0.96826171875,6.8566533305346e-07
-0.967864990234375,6.859737095806819e-07
-0.96746826171875,6.862822374590575e-07
-0.967071533203125,6.865909168015608e-07
-0.9666748046875,6.868997477051195e-07
-0.966278076171875,6.872087302434594e-07
-0.96588134765625,6.875178645343247e-07
-0.965484619140625,6.878271506830999e-07
-0.965087890625,6.88136588755054e-07
-0.964691162109375,6.884461788811587e-07
-0.96429443359375,6.887559211561731e-07
-0.963897705078125,6.890658156631473e-07
-0.9635009765625,6.893758625098508e-07
-0.963104248046875,6.896860617806345e-07
-0.96270751953125,6.899964135962788e-07
-0.962310791015625,6.903069180407007e-07
-0.9619140625,6.906175752084426e-07
-0.961517333984375,6.909283852139965e-07
-0.96112060546875,6.912393481421468e-07
-0.960723876953125,6.915504641008801e-07
-0.9603271484375,6.91861733170861e-07
-0.959930419921875,6.921731554776402e-07
-0.95953369140625,6.924847310901729e-07
-0.959136962890625,6.927964601392139e-07
-0.958740234375,6.931083426991395e-07
-0.958343505859375,6.934203789065591e-07
-0.95794677734375,6.937325688020218e-07
-0.957550048828125,6.940449125236552e-07
-0.9571533203125,6.943574101718562e-07
-0.956756591796875,6.94670061833361e-07
-0.95635986328125,6.949828676046637e-07
-0.955963134765625,6.952958275868119e-07
-0.95556640625,6.956089418966825e-07
-0.955169677734375,6.959222106242644e-07
-0.95477294921875,6.962356338656179e-07
-0.954376220703125,6.965492117222243e-07
-0.9539794921875,6.968629442933964e-07
-0.953582763671875,6.971768316908072e-07
-0.95318603515625,6.97490873995555e-07
-0.952789306640625,6.978050713195294e-07
-0.952392578125,6.981194237659465e-07
-0.951995849609375,6.984339314189403e-07
-0.95159912109375,6.987485944008089e-07
-0.951202392578125,6.990634127969873e-07
-0.9508056640625,6.993783867150286e-07
-0.950408935546875,6.996935162596665e-07
-0.95001220703125,7.000088015237087e-07
-0.949615478515625,7.003242426136241e-07
-0.94921875,7.006398396105108e-07
